scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,181,5068,14118,181,543,92137.97235796356,250703.2796528901,0.2687482087337806,0.7312517912662195,181.43220197758157,493.66886318823913,61009.54234132159,104122.28800776496,61329.54234132159,104442.28800776496,67510.10651658206,16513183.034908654
B,100,182,5096,14196,182,546,92583.07711845907,252708.56006358808,0.2681300881597858,0.7318699118402143,180.37950327689083,492.3517985880381,61189.92184459848,104614.63980635299,61509.92184459848,104934.63980635299,67273.13018649288,16580456.165095147
B,100,183,5124,14274,183,549,93027.60579777074,254718.34466594126,0.26751600032644623,0.7324839996735538,179.333175811256,491.0311223706027,61369.255020409735,105105.6709287236,61689.255020409735,105425.6709287236,67036.42981818586,16647492.594913332
B,100,184,5152,14352,184,552,93471.55920692484,256732.5938456277,0.2669059130001186,0.7330940869998813,178.29317236108406,489.70691185213013,61547.54819277082,105595.37784057573,61867.54819277082,105915.37784057573,66800.00842132143,16714292.603334654
B,100,185,5180,14430,185,555,93914.9381566261,258751.26806452652,0.26629979425284994,0.73370020574715,177.25944626625446,488.3792440060622,61724.80763903707,106083.7570845818,62044.80763903707,106403.7570845818,66563.86902723167,16780856.472361885
B,100,186,5208,14508,186,558,94357.74345744758,260774.3278628931,0.2656976124590387,0.7343023875409613,176.2319514148924,487.04819545530654,61901.03959045196,106570.80528003711,62221.03959045196,106890.80528003711,66328.0146870199,16847184.487048905
B,100,187,5236,14586,187,561,94799.97592001261,262801.7338614992,0.2650993362921382,0.7349006637078617,175.21064223299686,485.7138424662615,62076.25023268496,107056.51912250336,62396.25023268496,107376.51912250336,66092.44846992585,16913276.93551883
B,100,188,5264,14664,188,564,95241.63635517031,264833.4467637423,0.2645049347213991,0.7354950652786011,174.1954736738993,484.37626094185754,62250.445706358856,107540.89538344523,62570.445706358856,107860.89538344523,65857.17346157567,16979134.108980406
B,100,189,5292,14742,189,567,95682.72557416395,266869.42735772015,0.2639143770086526,0.7360856229913474,173.18640120834854,483.03552641581615,62423.6321075672,108023.93090986104,62743.6321075672,108343.93090986104,65622.19276241647,17044756.301742822
B,100,190,5320,14820,190,570,96123.24438879295,268909.63651827513,0.26332763270513293,0.7366723672948671,172.18338081454982,481.6917140462924,62595.815488381755,108505.62262390733,62915.815488381755,108825.62262390733,65387.50948608422,17110143.811228905
B,100,191,5348,14898,191,573,96563.19361156833,270954.0352090044,0.2627446716483376,0.7372553283516624,171.1863689686145,480.344898610176,62767.00185735037,108985.9675225175,63087.00185735037,109305.9675225175,65153.12675787905,17175296.937986784
B,100,192,5376,14976,192,576,97002.57405586191,273002.58448423975,0.2621654639589265,0.7378345360410735,170.19532263521324,478.99515449749475,62937.19717998558,109464.96267701499,63257.19717998558,109784.96267701499,64919.0477132708,17240215.985700056
